"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
42,-2.639296188,-11.73020528,-9.090909091,-7.565982405,-6.158357771,-4.281524927,-15.07331378,-7.170049896,-10.27707456,-54.15714789
43,-2.639296188,-11.96480938,-9.208211144,-7.624633431,-6.158357771,-4.281524927,-15.36656891,-7.226470252,-10.24600638,-53.81457728
44,-2.580645161,-12.14076246,-9.325513196,-7.683284457,-6.217008798,-4.281524927,-15.65982405,-7.270304003,-10.17962049,-53.373693
45,-2.580645161,-12.37536657,-9.442815249,-7.741935484,-6.217008798,-4.281524927,-15.89442815,-7.314692283,-10.12992992,-52.91587413
46,-2.521994135,-12.55131965,-9.501466276,-7.80058651,-6.275659824,-4.2228739,-16.12903226,-7.350270406,-10.06041369,-52.42667647
47,-2.521994135,-12.78592375,-9.618768328,-7.859237537,-6.275659824,-4.2228739,-16.36363636,-7.391636578,-10.01685356,-51.96340594
48,-2.463343109,-12.96187683,-9.736070381,-7.917888563,-6.275659824,-4.2228739,-16.53958944,-7.423949271,-9.959558472,-51.49243999
49,-2.404692082,-13.07917889,-9.853372434,-7.976539589,-6.275659824,-4.164222874,-16.71554252,-7.453146446,-9.903922132,-51.02816164
50,-2.404692082,-13.25513196,-9.91202346,-7.976539589,-6.33431085,-4.164222874,-16.8914956,-7.487100927,-9.871596887,-50.59290023
51,-2.346041056,-13.37243402,-10.02932551,-8.035190616,-6.33431085,-4.164222874,-17.00879765,-7.511469254,-9.822073811,-50.15007474
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Descending, Dry Season",,,,,,,,,,
