"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
41,-3.636363636,-11.43695015,-9.149560117,-7.80058651,-6.627565982,-4.985337243,-14.07624633,-7.559117278,-11.31695228,-52.9352156
42,-3.695014663,-11.43695015,-9.208211144,-7.859237537,-6.686217009,-5.102639296,-14.01759531,-7.61806779,-11.41257546,-53.59526589
43,-3.753665689,-11.49560117,-9.26686217,-7.976539589,-6.744868035,-5.161290323,-14.07624633,-7.685555581,-11.4840102,-53.78096075
44,-3.812316716,-11.61290323,-9.325513196,-8.035190616,-6.803519062,-5.161290323,-14.25219941,-7.754118733,-11.50446643,-53.36791337
45,-3.753665689,-11.7888563,-9.442815249,-8.093841642,-6.862170088,-5.161290323,-14.54545455,-7.810315785,-11.44098923,-52.43227292
46,-3.753665689,-11.96480938,-9.560117302,-8.152492669,-6.862170088,-5.219941349,-14.8973607,-7.862990633,-11.3939052,-51.29679401
47,-3.753665689,-12.14076246,-9.677419355,-8.211143695,-6.920821114,-5.219941349,-15.19061584,-7.91357591,-11.37035177,-50.1536237
48,-3.753665689,-12.31671554,-9.736070381,-8.269794721,-6.979472141,-5.219941349,-15.48387097,-7.962017859,-11.35569353,-49.04888582
49,-3.753665689,-12.4340176,-9.794721408,-8.328445748,-6.979472141,-5.278592375,-15.7771261,-8.017031294,-11.34665519,-47.99355355
50,-3.753665689,-12.60997067,-9.91202346,-8.387096774,-7.038123167,-5.278592375,-16.07038123,-8.073053375,-11.3419229,-46.99493523
51,-3.812316716,-12.78592375,-10.02932551,-8.445747801,-7.096774194,-5.337243402,-16.30498534,-8.141263412,-11.36417226,-46.04479835
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-66.5, -54.5] [Deg], Lat. [-5.5, -2.5] [Deg]: VV Pol., Descending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-2.463343109,-10.14662757,-7.976539589,-6.627565982,-5.395894428,-3.812316716,-12.60997067,-6.352857445,-10.12520656,-45.36239578
26,-2.404692082,-10.02932551,-7.917888563,-6.568914956,-5.337243402,-3.753665689,-12.49266862,-6.306064189,-10.10335172,-46.51888738
27,-2.404692082,-9.970674487,-7.859237537,-6.51026393,-5.337243402,-3.753665689,-12.31671554,-6.263662505,-10.1149277,-47.71596507
28,-2.404692082,-9.91202346,-7.80058651,-6.51026393,-5.278592375,-3.753665689,-12.25806452,-6.23743861,-10.12035365,-48.71899653
29,-2.404692082,-9.853372434,-7.80058651,-6.51026393,-5.337243402,-3.753665689,-12.19941349,-6.237869714,-10.12018651,-49.35659977
30,-2.346041056,-9.91202346,-7.80058651,-6.51026393,-5.337243402,-3.695014663,-12.31671554,-6.249507414,-10.07872219,-49.58338382
31,-2.346041056,-10.02932551,-7.859237537,-6.568914956,-5.337243402,-3.695014663,-12.4340176,-6.264129614,-10.03970942,-49.4531259
32,-2.287390029,-10.14662757,-7.917888563,-6.568914956,-5.337243402,-3.636363636,-12.60997067,-6.275033111,-9.95618539,-48.95762581
33,-2.170087977,-10.26392962,-7.976539589,-6.568914956,-5.278592375,-3.636363636,-12.90322581,-6.281866468,-9.831087623,-48.18818038
34,-2.11143695,-10.38123167,-8.035190616,-6.568914956,-5.278592375,-3.57771261,-13.07917889,-6.272257146,-9.728687615,-47.38841585
35,-2.052785924,-10.4398827,-8.035190616,-6.568914956,-5.219941349,-3.519061584,-13.19648094,-6.23546327,-9.660198133,-46.79922821
36,-2.052785924,-10.38123167,-7.976539589,-6.51026393,-5.219941349,-3.519061584,-13.19648094,-6.212248863,-9.671058748,-46.55527201
37,-2.052785924,-10.32258065,-7.976539589,-6.568914956,-5.219941349,-3.519061584,-13.13782991,-6.229645543,-9.706214341,-46.44457135
38,-2.11143695,-10.38123167,-8.035190616,-6.627565982,-5.337243402,-3.57771261,-13.19648094,-6.304627321,-9.769010457,-46.34976195
39,-2.170087977,-10.49853372,-8.152492669,-6.744868035,-5.454545455,-3.695014663,-13.25513196,-6.408251402,-9.865721336,-46.3088684
40,-2.287390029,-10.55718475,-8.269794721,-6.862170088,-5.513196481,-3.812316716,-13.31378299,-6.51259182,-9.985226998,-46.28531666
41,-2.346041056,-10.73313783,-8.328445748,-6.920821114,-5.630498534,-3.870967742,-13.48973607,-6.606416343,-10.03981609,-46.00429291
42,-2.346041056,-10.96774194,-8.504398827,-7.038123167,-5.68914956,-3.929618768,-13.84164223,-6.692383096,-10.01811406,-45.35009407
43,-2.287390029,-11.26099707,-8.680351906,-7.15542522,-5.747800587,-3.929618768,-14.25219941,-6.773239706,-9.940453874,-44.43221376
44,-2.228739003,-11.5542522,-8.856304985,-7.214076246,-5.806451613,-3.870967742,-14.72140762,-6.849292367,-9.855825972,-43.46423245
45,-2.228739003,-11.84750733,-9.032258065,-7.331378299,-5.865102639,-3.929618768,-15.19061584,-6.94103036,-9.811905703,-42.54320834
46,-2.170087977,-12.14076246,-9.208211144,-7.448680352,-5.923753666,-3.929618768,-15.60117302,-7.015892849,-9.745921701,-41.62721471
47,-2.170087977,-12.4340176,-9.325513196,-7.565982405,-5.982404692,-3.929618768,-16.07038123,-7.086540812,-9.693374178,-40.68630775
48,-2.11143695,-12.72727273,-9.501466276,-7.624633431,-5.982404692,-3.929618768,-16.42228739,-7.152980301,-9.637274195,-39.7420933
49,-2.11143695,-13.02052786,-9.677419355,-7.741935484,-6.041055718,-3.929618768,-16.77419355,-7.221791397,-9.594014806,-38.78077941
50,-2.11143695,-13.31378299,-9.853372434,-7.80058651,-6.099706745,-3.929618768,-16.95014663,-7.285352547,-9.538189665,-37.76845276
51,-2.052785924,-13.66568915,-10.02932551,-7.976539589,-6.158357771,-3.929618768,-17.30205279,-7.377678883,-9.481530604,-36.77612424
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-65, -54.5] [Deg], Lat. [-5, -3] [Deg]: HV Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-9.736070381,-17.24340176,-15.01466276,-13.66568915,-12.49266862,-11.02639296,-19.53079179,-13.45229976,-17.36632652,-41.06904785
26,-9.794721408,-17.18475073,-15.01466276,-13.66568915,-12.49266862,-10.96774194,-19.53079179,-13.42583663,-17.34475519,-41.68565481
27,-9.794721408,-17.12609971,-14.95601173,-13.60703812,-12.4340176,-10.96774194,-19.41348974,-13.4159557,-17.38243,-42.41565857
28,-9.736070381,-17.06744868,-14.95601173,-13.60703812,-12.4340176,-10.96774194,-19.29618768,-13.4098048,-17.371631,-43.12797449
29,-9.794721408,-17.06744868,-14.95601173,-13.66568915,-12.49266862,-10.96774194,-19.23753666,-13.42434138,-17.39466967,-43.85316743
30,-9.794721408,-17.12609971,-14.95601173,-13.66568915,-12.4340176,-10.96774194,-19.29618768,-13.41969383,-17.37324307,-44.53851416
31,-9.794721408,-17.12609971,-14.95601173,-13.66568915,-12.49266862,-10.96774194,-19.29618768,-13.42707008,-17.38930491,-45.30964304
32,-9.736070381,-17.12609971,-14.95601173,-13.66568915,-12.49266862,-10.96774194,-19.29618768,-13.43186746,-17.37608145,-46.02108284
33,-9.736070381,-17.12609971,-15.01466276,-13.66568915,-12.49266862,-10.96774194,-19.23753666,-13.43769252,-17.35850901,-46.70870455
34,-9.736070381,-17.18475073,-15.01466276,-13.66568915,-12.49266862,-10.96774194,-19.23753666,-13.44135746,-17.34957851,-47.37157019
35,-9.736070381,-17.12609971,-15.01466276,-13.66568915,-12.49266862,-10.96774194,-19.17888563,-13.44389067,-17.35389767,-48.01008009
36,-9.677419355,-17.12609971,-15.01466276,-13.66568915,-12.49266862,-10.96774194,-19.17888563,-13.44483845,-17.33606754,-48.55338354
37,-9.677419355,-17.12609971,-15.01466276,-13.72434018,-12.49266862,-10.96774194,-19.1202346,-13.44481599,-17.34501782,-49.01675168
38,-9.677419355,-17.12609971,-15.01466276,-13.72434018,-12.49266862,-10.96774194,-19.1202346,-13.44661421,-17.3457242,-49.3406252
39,-9.677419355,-17.12609971,-15.01466276,-13.72434018,-12.49266862,-10.96774194,-19.1202346,-13.45321615,-17.34100099,-49.49380773
40,-9.677419355,-17.12609971,-15.01466276,-13.72434018,-12.49266862,-10.96774194,-19.1202346,-13.45221651,-17.31802659,-49.43702958
41,-9.618768328,-17.12609971,-15.07331378,-13.72434018,-12.49266862,-10.90909091,-19.1202346,-13.44803134,-17.27829218,-49.17693219
42,-9.618768328,-17.18475073,-15.07331378,-13.72434018,-12.49266862,-10.90909091,-19.17888563,-13.44454392,-17.2454642,-48.75965147
43,-9.560117302,-17.18475073,-15.07331378,-13.72434018,-12.49266862,-10.85043988,-19.17888563,-13.44440449,-17.18417382,-48.15666366
44,-9.501466276,-17.24340176,-15.13196481,-13.72434018,-12.49266862,-10.85043988,-19.17888563,-13.44599567,-17.13097521,-47.41467834
45,-9.442815249,-17.30205279,-15.13196481,-13.72434018,-12.4340176,-10.79178886,-19.17888563,-13.44048369,-17.06337396,-46.5506104
46,-9.442815249,-17.36070381,-15.19061584,-13.7829912,-12.4340176,-10.79178886,-19.23753666,-13.44742535,-17.03558654,-45.62438828
47,-9.442815249,-17.36070381,-15.19061584,-13.7829912,-12.4340176,-10.79178886,-19.29618768,-13.44541522,-16.99274413,-44.64668717
48,-9.384164223,-17.36070381,-15.24926686,-13.7829912,-12.4340176,-10.73313783,-19.29618768,-13.45346386,-16.94689703,-43.65770716
49,-9.384164223,-17.41935484,-15.24926686,-13.84164223,-12.49266862,-10.73313783,-19.29618768,-13.47282528,-16.96101369,-42.76596595
50,-9.325513196,-17.41935484,-15.24926686,-13.7829912,-12.4340176,-10.6744868,-19.29618768,-13.45314205,-16.89054623,-41.82597138
51,-9.208211144,-17.41935484,-15.30791789,-13.7829912,-12.4340176,-10.6744868,-19.29618768,-13.43319178,-16.83070862,-40.94993744
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-65, -54.5] [Deg], Lat. [-5, -3] [Deg]: HV Pol., Descending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-9.325513196,-17.24340176,-14.83870968,-13.43108504,-12.19941349,-10.6744868,-23.40175953,-13.20508783,-16.87977654,-37.54187553
26,-9.384164223,-16.8914956,-14.72140762,-13.37243402,-12.14076246,-10.61583578,-21.93548387,-13.12992707,-16.98460673,-38.92164485
27,-9.26686217,-16.59824047,-14.54545455,-13.31378299,-12.14076246,-10.61583578,-20.11730205,-13.06591841,-17.02467877,-40.22136402
28,-9.26686217,-16.48093842,-14.48680352,-13.25513196,-12.08211144,-10.55718475,-19.64809384,-13.00812535,-17.02762236,-41.57144103
29,-9.26686217,-16.42228739,-14.48680352,-13.25513196,-12.14076246,-10.55718475,-19.23753666,-13.00122094,-17.05694514,-42.96707719
30,-9.208211144,-16.30498534,-14.42815249,-13.25513196,-12.08211144,-10.55718475,-18.82697947,-12.97298942,-17.06052607,-44.36859639
31,-9.208211144,-16.24633431,-14.42815249,-13.19648094,-12.08211144,-10.55718475,-18.53372434,-12.94822524,-17.06713084,-45.69446333
32,-9.26686217,-16.24633431,-14.42815249,-13.25513196,-12.08211144,-10.55718475,-18.29912023,-12.96892601,-17.12630932,-47.00562268
33,-9.26686217,-16.24633431,-14.42815249,-13.25513196,-12.08211144,-10.55718475,-18.29912023,-12.97348382,-17.13396549,-48.17459281
34,-9.26686217,-16.18768328,-14.42815249,-13.25513196,-12.08211144,-10.55718475,-18.18181818,-12.96913639,-17.1394294,-49.25691458
35,-9.26686217,-16.18768328,-14.42815249,-13.25513196,-12.08211144,-10.55718475,-18.18181818,-12.96855885,-17.13842409,-50.24552181
36,-9.26686217,-16.18768328,-14.42815249,-13.25513196,-12.08211144,-10.55718475,-18.12316716,-12.96853846,-17.13657469,-51.19541226
37,-9.26686217,-16.24633431,-14.42815249,-13.25513196,-12.14076246,-10.55718475,-18.18181818,-12.98303847,-17.13921019,-52.11837056
38,-9.26686217,-16.24633431,-14.42815249,-13.25513196,-12.14076246,-10.61583578,-18.18181818,-13.01047345,-17.1639563,-52.99707324
39,-9.325513196,-16.30498534,-14.48680352,-13.31378299,-12.19941349,-10.6744868,-18.24046921,-13.0474805,-17.20159938,-53.75261382
40,-9.384164223,-16.42228739,-14.54545455,-13.37243402,-12.19941349,-10.6744868,-18.35777126,-13.09840945,-17.22887814,-54.18316154
41,-9.384164223,-16.53958944,-14.60410557,-13.43108504,-12.25806452,-10.73313783,-18.47507331,-13.14960785,-17.21890251,-54.10950519
42,-9.384164223,-16.71554252,-14.72140762,-13.48973607,-12.31671554,-10.73313783,-18.76832845,-13.20654998,-17.17387632,-53.53779018
43,-9.325513196,-16.8914956,-14.83870968,-13.5483871,-12.31671554,-10.73313783,-19.1202346,-13.26744121,-17.09222483,-52.64797076
44,-9.325513196,-17.12609971,-14.95601173,-13.60703812,-12.37536657,-10.73313783,-19.41348974,-13.33253254,-17.0400361,-51.71468941
45,-9.325513196,-17.36070381,-15.07331378,-13.72434018,-12.4340176,-10.73313783,-19.76539589,-13.40125099,-16.98740092,-50.7776002
46,-9.26686217,-17.53665689,-15.19061584,-13.7829912,-12.49266862,-10.73313783,-20,-13.46122921,-16.92267519,-49.8592501
47,-9.26686217,-17.71260997,-15.30791789,-13.84164223,-12.49266862,-10.73313783,-20.29325513,-13.5191349,-16.87507353,-48.90997799
48,-9.208211144,-17.88856305,-15.42521994,-13.95894428,-12.55131965,-10.73313783,-20.46920821,-13.57555938,-16.82160239,-47.92789745
49,-9.208211144,-18.06451613,-15.54252199,-14.01759531,-12.60997067,-10.73313783,-20.64516129,-13.62793623,-16.77044182,-46.90404762
50,-9.149560117,-18.29912023,-15.71847507,-14.07624633,-12.60997067,-10.73313783,-20.82111437,-13.680326,-16.70403227,-45.78260488
51,-9.149560117,-18.53372434,-15.89442815,-14.19354839,-12.6686217,-10.73313783,-20.99706745,-13.77806938,-16.68005034,-44.69906212
